setup,direction,entry_ts,exit_ts,entry_t,exit_t,stop_t,target_t,risk_ticks,pnl_ticks,pnl_usd,r_multiple,reason,mae_ticks,mfe_ticks,trend,lvn_strength,absorption_ratio,aggressor_share,stacked,hour
lvn,1,2024-02-20 11:08:36.962376,2024-02-20 11:15:02.424278,20419.0,20411.0,20412.0,20433.0,7.0,-8.0,-11.24,-1.1428571428571428,stop,-14.0,3.0,0,0.9675717913655011,5.565006075334144,0.514410480349345,1,11
lvn,1,2024-02-20 15:01:57.829517,2024-02-20 15:24:32.692246,20496.0,20474.0,20475.0,20538.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-25.0,6.0,0,0.914777878513146,4.3927765237020315,0.5087358684480987,1,15
lvn,-1,2024-02-22 12:28:34.876511,2024-02-22 13:07:56.147319,20316.0,20338.0,20337.0,20274.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-22.0,18.0,0,0.9463251822082964,6.258373205741627,0.5815494393476045,1,12
structure,1,2024-02-22 15:13:45.135943,2024-02-22 15:15:08.508970,20352.0,20347.0,20348.0,20360.0,4.0,-5.0,-7.49,-1.25,stop,-5.0,3.0,1,0.0,3.8838582677165356,0.6391282311201216,1,15
lvn,-1,2024-02-23 09:42:08.743268,2024-02-23 09:53:50.265459,20241.0,20261.0,20260.0,20203.0,19.0,-20.0,-26.24,-1.0526315789473684,stop,-21.0,3.0,0,0.9203042927005978,3.933481152993348,0.5924464487034949,1,9
lvn+structure,1,2024-02-23 10:37:34.523850,2024-02-23 10:40:49.014199,20276.0,20255.0,20256.0,20316.0,20.0,-21.0,-27.49,-1.05,stop,-20.0,2.0,1,0.7860615883306321,3.8312387791741473,0.5571696344892221,1,10
lvn,-1,2024-02-23 11:05:44.300345,2024-02-23 11:08:18.803456,20302.0,20310.0,20309.0,20288.0,7.0,-8.0,-11.24,-1.1428571428571428,stop,-7.0,1.0,-1,0.9683060109289617,3.5698035160289554,0.5191193511008111,1,11
lvn,1,2024-02-23 15:33:57.981148,2024-02-23 15:39:23.247225,20519.0,20527.0,20520.0,20527.0,4.0,8.0,8.76,2.0,objectif,-2.0,15.0,0,0.9069919979010888,2.8263598326359833,0.542561065877128,1,15
lvn,1,2024-02-26 12:24:41.019670,2024-02-26 12:28:07.989546,20313.0,20329.0,20314.0,20329.0,8.0,16.0,18.76,2.0,objectif,-2.0,22.0,-1,0.9623888182973317,8.551301684532925,0.548352435530086,1,12
lvn,1,2024-02-27 09:56:09.104119,2024-02-27 10:02:10.989782,20181.0,20223.0,20182.0,20223.0,21.0,42.0,51.26,2.0,objectif,-3.0,49.0,0,0.9349428208386277,5.604774535809018,0.5030761949834359,1,9
lvn,-1,2024-02-27 12:05:29.885548,2024-02-27 12:12:42.030272,20268.0,20242.0,20267.0,20242.0,13.0,26.0,31.26,2.0,objectif,-1.0,29.0,0,0.727042431918936,4.245363766048502,0.5295698924731183,1,12
lvn,-1,2024-02-27 13:53:05.697653,2024-02-27 14:12:33.068195,20282.0,20303.0,20302.0,20242.0,20.0,-21.0,-27.49,-1.05,stop,-26.0,1.0,1,0.7704243191893604,4.587223587223587,0.5581146223888591,1,13
lvn,1,2024-02-27 15:08:04.183296,2024-02-27 15:12:45.805025,20425.0,20409.0,20410.0,20455.0,15.0,-16.0,-21.24,-1.0666666666666667,stop,-15.0,2.0,0,0.9309296264118159,3.053435114503817,0.5571428571428572,1,15
lvn+structure,-1,2024-02-28 11:42:43.051850,2024-02-28 11:45:27.398000,20342.0,20342.0,20341.0,20334.0,4.0,-0.0,-1.24,-0.0,breakeven,-3.0,6.0,-1,0.8808634772462077,4.302631578947368,0.5275229357798165,1,11
structure,1,2024-02-28 15:20:17.162640,2024-02-28 15:32:23.097541,20212.0,20194.0,20195.0,20246.0,17.0,-18.0,-23.74,-1.0588235294117647,stop,-19.0,10.0,1,0.0,5.913654618473895,0.564346349745331,1,15
structure,1,2024-02-29 11:39:27.334748,2024-02-29 11:52:30.214634,20222.0,20200.0,20201.0,20264.0,21.0,-22.0,-28.74,-1.0476190476190477,stop,-24.0,19.0,1,0.0,3.118359739049394,0.5564853556485355,1,11
lvn,1,2024-02-29 15:45:09.231247,2024-02-29 15:48:52.013537,20228.0,20220.0,20221.0,20242.0,7.0,-8.0,-11.24,-1.1428571428571428,stop,-14.0,3.0,-1,0.8247023247023247,4.129098360655738,0.509181141439206,1,15
structure,-1,2024-03-01 10:32:10.841937,2024-03-01 10:35:41.509329,20192.0,20182.0,20191.0,20182.0,5.0,10.0,11.26,2.0,objectif,-3.0,14.0,-1,0.0,10.284313725490197,0.5028598665395615,1,10
lvn,-1,2024-01-03 11:34:17.899991,2024-01-03 11:37:05.115099,19990.0,20002.0,20001.0,19968.0,11.0,-12.0,-16.24,-1.0909090909090908,stop,-11.0,0.0,0,0.7124074795481106,4.615929203539823,0.5149539877300614,1,11
